12296,PNBE-SBC SAN
12297,ADI-PUNE DUR
12298,PUNE-ADI DOR
12301,KOLKATA RAJD
12302,KOLKATA RAJD
12303,POORVA EXPRE
12304,POORVA EXPRE
12305,KOLKATA RAJD
12306,KOLKATA RAJD
12307,HWH-JU EXP
12308,JU-HWH SUPFA
12309,PATNA RAJDHA
12310,PATNA RAJDHA
12311,HWH DLIKLK M
12312,KLK DLI HWH
12313,SDAH RAJDHAN
12314,SDAH RAJDHAN
12315,ANNANYA  EXP
12316,ANANYA EXPRE
12317,AKAL TAKHT E
12318,AKAL TAKHAT
12319,KOAA-AGC WEE
12320,AGC-KOAA WEE
12321,HWH MUMBAI M
12322,KOLKATA MAIL
12323,HWH ANVT BI-
12324,ANVT HWH BI-
12325,KOAA-NANGALD
12326,NLDM-KOAA WK
12327,UPASANA EXPR
12328,UPASANA EXPR
12329,SAMPARK KRAN
12330,SAMPARKRANTI
12331,HIMGIRI EXPR
12332,HIMGIRI EXPR
12333,VIBHUTI EXPR
12334,VIBHUTI EXPR
12335,BGP-LT(T) EX
12336,LTT-BGP EXP
12337,SHANTINIKETA
12338,SHANTINIKETA
12339,COALFIELD EX
12340,COALFIELD EX
12341,AGNIVEENA EX
12342,AGNIVEENA EX
12343,DARJEELING M
12344,DARJEELING M
12345,SARAIGHAT EX
12346,SARAIGHAT EX
12347,HWH RPH EXP
12348,RPH HWH EXP
12349,BGP NDLS EXP
12350,NDLS BGP  EX
12351,DANAPUR EXPR
12352,DANAPUR EXP
12353,HWH LKU EXP
12354,LKU  HWH  EX
12355,ARCHNA EXPRE
12356,ARCHNA EXPRE
12357,DURGIANA EXP
12358,ASR KOAA SUP
12359,PNBE GARIB R
12360,KOL GARIB RA
12361,ASN CSMT EXP
12362,CSMT- ASANSO
12363,KOAA HDB SF
12364,HDB KOA SF E
12365,PNBE-RNC JAN
12366,RNC-PNBE JAN
12367,VIKRAMSHILA
12368,VIKRAMSHILA
12369,KUMBHA EXPRE
12370,HW HWH S F E
12371,HWH JSM SF E
12372,JSM HWH SF E
12373,SDAH RPH INT
12374,RPH SDAH INT
12375,MAS ASN  EXP
12376,ASN MAS  EXP
12377,PADATIK EXP
12378,PADATIK EXP
12379,JALIANWALA B
12380,JALIANWALA B
12381,POORVA EXPRE
12382,POORVA EXPRE
12383,SDAH-ASN INT
12384,INTERCITY EX
12389,GAYA-CHENNAI
12390,CHENNAI-EGMO
12391,SHRAMJEEVI E
12392,SHRAMJEEVI E
12393,SAMPOORNA KR
12394,SAMPOORNKRAN
12395,ZIYARAT EXPR
12396,ZIYARAT EXPR
12397,MAHABODHI EX
12398,MAHABODHI EX
12401,MAGADH EXPRE
12402,MAGADH EXPRE
12405,GONDWANA EXP
12406,NZM BSL EXPR
12407,KARMABHOOMI
12408,KARMABHOOMI
12409,GONDWANA EXP
12410,GONDWANA EXP
12411,CDG-ASR INTE
12412,ASR-CDG INTE
12413,AII-JAT POOJ
12414,JAT-AII POOJ
12415,IND NZM EXPR
12416,INTERCITY  E
12417,PRAYAG RAJ E
12418,PRAYAG RAJ E
12419,GOMTI EXP
12420,GOMTI EXPRES
12421,NED-ASR SUPE
12422,ASR-NED SUPE
12423,DBRT-NDLS RA
12424,NDLS-DBRT RA
12425,NDLS-JAT RAJ
12426,JAT-NDLS RAJ
12427,REWA-ANVT EX
12428,ANVT-REWA EX
12431,TVC-NZM RAJD
12432,NZM-TVC RAJD
12433,MAS-NZM RAJD
12434,NZM-MAS RAJD
12435,DBRT - NDLS
12436,NDLS - DBRT
12437,RAJDHANI EXP
12438,NZM SC RAJDH
12439,RNC NDLS RAJ
12440,NDLS RNC RAJ
12441,BSP-NDLS
12442,NDLS-BSP
12443,HLZ-ANVT EXP
12444,ANVT-HLZ EXP
12445,UTTAR SMPRK
12446,UTTAR SMPRK
12447,U S KRANTI E
12448,U P S KRANTI
12449,GOA SMPRK K
12450,GOA SMPRK KR
12451,SHRAM SHKTI
12452,SHRAM SHKTI
12453,RNC-NDLS
